Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
6/2/22,Cleaning&body,1,5,5,25.00,25.00,100,25.00
6/2/22,General Food,12,64,5.3,623.87,51.98,100,623.87
6/2/22,Meat/Fish,2,3,1.5,30.00,15.00,100,30.00
6/2/22,Pinless Recharge,1,1,1,40.00,40.00,0,0.00
6/2/22,Service Fees,14,0,0,2.52,0.18,0,0.00
6/2/22,Snacks,1,2,2,1.50,1.50,100,1.50
6/3/22,Cleaning&body,1,1,1,16.00,16.00,100,16.00
6/3/22,General Food,10,72,7.2,697.91,69.79,100,697.91
6/3/22,Meat/Fish,1,2,2,30.00,30.00,100,30.00
6/3/22,Service Fees,11,0,0,1.80,0.16,0,0.00
6/3/22,Snacks,1,1,1,0.25,0.25,100,0.25
6/4/22,Condiments,1,1,1,1.00,1.00,100,1.00
6/4/22,Drinks,1,4,4,74.00,74.00,100,74.00
6/4/22,General Food,7,65,9.3,490.22,70.03,100,490.22
6/4/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
6/4/22,Service Fees,7,0,0,4.56,0.65,0,0.00
6/5/22,General Food,2,3,1.5,11.09,5.54,100,11.09
6/5/22,Service Fees,2,0,0,0.00,0.00,0,0.00
6/6/22,Cleaning&body,1,2,2,20.00,20.00,100,20.00
6/6/22,Drinks,3,4,1.3,78.00,26.00,100,78.00
6/6/22,General Food,9,103,11.4,892.31,99.14,100,892.31
6/6/22,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
6/6/22,Service Fees,9,0,0,3.40,0.37,0,0.00
6/6/22,Snacks,2,4,2,3.00,1.50,100,3.00
6/7/22,Drinks,8,20,2.5,203.00,25.37,100,203.00
6/7/22,General Food,16,101,6.3,1893.47,118.34,100,1893.47
6/7/22,Meat/Fish,9,15,1.7,190.00,21.11,100,190.00
6/7/22,Pinless Recharge,2,2,1,30.00,15.00,0,0.00
6/7/22,Service Fees,20,0,0,4.88,0.24,0,0.00
6/7/22,Snacks,4,5,1.3,4.75,1.18,100,4.75
6/8/22,Drinks,2,4,2,38.00,19.00,100,38.00
6/8/22,General Food,9,90,10,572.26,63.58,100,572.26
6/8/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
6/8/22,Service Fees,9,0,0,1.24,0.13,0,0.00
6/8/22,Snacks,2,4,2,4.00,2.00,100,4.00
6/9/22,Cleaning&body,4,5,1.3,77.00,19.25,100,77.00
6/9/22,Drinks,7,12,1.7,238.75,34.10,100,238.75
6/9/22,General Food,18,129,7.2,2326.49,129.24,100,2326.49
6/9/22,Meat/Fish,6,10,1.7,127.00,21.16,100,127.00
6/9/22,Service Fees,19,0,0,4.53,0.23,0,0.00
6/10/22,Cleaning&body,3,4,1.3,64.00,21.33,100,64.00
6/10/22,Drinks,6,7,1.2,120.75,20.12,100,120.75
6/10/22,General Food,21,129,6.1,1759.46,83.78,100,1759.46
6/10/22,Meat/Fish,5,6,1.2,100.00,20.00,100,100.00
6/10/22,Service Fees,22,0,0,6.16,0.28,0,0.00
6/11/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
6/11/22,Drinks,4,5,1.3,41.50,10.37,100,41.50
6/11/22,Frozen,1,5,5,10.00,10.00,100,10.00
6/11/22,General Food,21,112,5.3,1446.88,68.89,100,1446.88
6/11/22,Meat/Fish,3,4,1.3,31.10,10.36,100,31.10
6/11/22,Service Fees,22,0,0,4.76,0.21,0,0.00
6/11/22,Snacks,4,11,2.8,17.00,4.25,100,17.00
6/12/22,General Food,4,27,6.8,311.95,77.98,100,311.95
6/12/22,Meat/Fish,2,3,1.5,40.00,20.00,100,40.00
6/12/22,Service Fees,4,0,0,3.36,0.84,0,0.00
6/13/22,Condiments,1,6,6,9.00,9.00,100,9.00
6/13/22,Drinks,4,12,3,207.00,51.75,100,207.00
6/13/22,General Food,12,73,6.1,844.65,70.38,100,844.65
6/13/22,Meat/Fish,5,7,1.4,100.00,20.00,100,100.00
6/13/22,Service Fees,14,0,0,0.40,0.02,0,0.00
6/13/22,Snacks,2,11,5.5,9.00,4.50,100,9.00
6/14/22,Drinks,6,13,2.2,83.50,13.91,100,83.50
6/14/22,General Food,13,86,6.6,1346.27,103.55,100,1346.27
6/14/22,Meat/Fish,5,10,2,120.00,24.00,100,120.00
6/14/22,Service Fees,14,0,0,0.10,0.00,0,0.00
6/14/22,Snacks,2,5,2.5,4.25,2.12,100,4.25
6/15/22,Cleaning&body,2,2,1,46.00,23.00,100,46.00
6/15/22,Drinks,1,1,1,36.00,36.00,100,36.00
6/15/22,General Food,4,14,3.5,114.49,28.62,100,114.49
6/15/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
6/15/22,Service Fees,5,0,0,1.20,0.24,0,0.00
6/15/22,Snacks,1,1,1,0.25,0.25,100,0.25
6/16/22,Drinks,3,9,3,122.00,40.66,100,122.00
6/16/22,General Food,12,84,7,1301.46,108.45,100,1301.46
6/16/22,Meat/Fish,3,5,1.7,70.00,23.33,100,70.00
6/16/22,Pinless Recharge,2,2,1,25.00,12.50,0,0.00
6/16/22,Service Fees,15,0,0,10.60,0.70,0,0.00
6/16/22,Snacks,2,6,3,9.00,4.50,100,9.00
6/17/22,Cleaning&body,1,1,1,2.00,2.00,100,2.00
6/17/22,Drinks,1,3,3,3.00,3.00,100,3.00
6/17/22,General Food,10,51,5.1,479.98,47.99,100,479.98
6/17/22,Household,1,2,2,10.00,10.00,100,10.00
6/17/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
6/17/22,Service Fees,12,0,0,6.36,0.53,0,0.00
6/18/22,Drinks,2,4,2,74.00,37.00,100,74.00
6/18/22,General Food,14,91,6.5,754.56,53.89,100,754.56
6/18/22,Meat/Fish,3,4,1.3,60.00,20.00,100,60.00
6/18/22,Service Fees,14,0,0,4.20,0.30,0,0.00
6/18/22,Snacks,1,1,1,0.25,0.25,100,0.25
6/19/22,Cleaning&body,1,3,3,9.00,9.00,100,9.00
6/19/22,Condiments,1,6,6,9.00,9.00,100,9.00
6/19/22,General Food,6,13,2.2,200.97,33.49,100,200.97
6/19/22,Service Fees,6,0,0,0.00,0.00,0,0.00
6/20/22,Cleaning&body,1,2,2,36.00,36.00,100,36.00
6/20/22,Drinks,2,4,2,82.00,41.00,100,82.00
6/20/22,General Food,15,70,4.7,859.81,57.32,100,859.81
6/20/22,Meat/Fish,2,2,1,20.00,10.00,100,20.00
6/20/22,Service Fees,16,0,0,3.43,0.21,0,0.00
6/21/22,Cleaning&body,2,2,1,22.00,11.00,100,22.00
6/21/22,General Food,3,37,12.3,428.50,142.83,100,428.50
6/21/22,Meat/Fish,1,2,2,20.00,20.00,100,20.00
6/21/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
6/21/22,Service Fees,4,0,0,1.40,0.35,0,0.00
6/22/22,Drinks,1,2,2,2.00,2.00,100,2.00
6/22/22,General Food,4,21,5.3,287.85,71.96,100,287.85
6/22/22,Meat/Fish,1,2,2,30.00,30.00,100,30.00
6/22/22,Service Fees,5,0,0,3.14,0.62,0,0.00
6/23/22,Condiments,1,7,7,10.50,10.50,100,10.50
6/23/22,Drinks,4,11,2.8,202.00,50.50,100,202.00
6/23/22,General Food,9,95,10.6,611.93,67.99,100,611.93
6/23/22,Household,1,1,1,23.99,23.99,100,23.99
6/23/22,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
6/23/22,Service Fees,9,0,0,6.74,0.74,0,0.00
6/24/22,Drinks,2,3,1.5,3.50,1.75,100,3.50
6/24/22,General Food,5,19,3.8,261.00,52.20,100,261.00
6/24/22,Service Fees,5,0,0,3.72,0.74,0,0.00
6/24/22,Snacks,1,1,1,1.99,1.99,100,1.99
6/25/22,Cleaning&body,2,2,1,33.00,16.50,100,33.00
6/25/22,General Food,7,35,5,263.48,37.64,100,263.48
6/25/22,Service Fees,9,0,0,7.10,0.78,0,0.00
6/25/22,Snacks,2,5,2.5,1.50,0.75,100,1.50
6/26/22,General Food,2,17,8.5,132.00,66.00,100,132.00
6/26/22,Service Fees,2,0,0,4.44,2.22,0,0.00
6/26/22,Snacks,1,5,5,7.50,7.50,100,7.50
6/27/22,Drinks,1,1,1,36.00,36.00,100,36.00
6/27/22,General Food,3,17,5.7,317.44,105.81,100,317.44
6/27/22,Service Fees,3,0,0,3.72,1.24,0,0.00
6/28/22,Cleaning&body,1,4,4,8.00,8.00,100,8.00
6/28/22,Drinks,1,1,1,1.00,1.00,100,1.00
6/28/22,General Food,5,61,12.2,357.43,71.48,100,357.43
6/28/22,Household,1,2,2,47.98,47.98,100,47.98
6/28/22,Meat/Fish,3,8,2.7,120.00,40.00,100,120.00
6/28/22,Service Fees,6,0,0,4.94,0.82,0,0.00
6/29/22,Drinks,1,2,2,72.00,72.00,100,72.00
6/29/22,General Food,2,7,3.5,247.50,123.75,100,247.50
6/29/22,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
6/29/22,Service Fees,3,0,0,0.00,0.00,0,0.00
6/30/22,General Food,7,19,2.7,551.51,78.78,100,551.51
6/30/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
6/30/22,Service Fees,7,0,0,2.34,0.33,0,0.00
7/1/22,Drinks,3,8,2.7,199.00,66.33,100,199.00
7/1/22,General Food,11,60,5.5,668.37,60.76,100,668.37
7/1/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
7/1/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
7/1/22,Service Fees,13,0,0,2.80,0.21,0,0.00
7/1/22,Snacks,4,10,2.5,5.75,1.43,100,5.75
7/2/22,Cleaning&body,2,2,1,21.00,10.50,100,21.00
7/2/22,Drinks,1,1,1,36.00,36.00,100,36.00
7/2/22,General Food,6,27,4.5,254.98,42.49,100,254.98
7/2/22,Meat/Fish,3,3,1,40.00,13.33,100,40.00
7/2/22,Service Fees,6,0,0,4.26,0.71,0,0.00
7/2/22,Snacks,1,1,1,0.25,0.25,100,0.25
7/3/22,Cleaning&body,1,3,3,48.00,48.00,100,48.00
7/3/22,Drinks,1,1,1,0.75,0.75,100,0.75
7/3/22,General Food,9,62,6.9,422.36,46.92,100,422.36
7/3/22,Service Fees,11,0,0,3.36,0.30,0,0.00
7/3/22,Snacks,3,8,2.7,4.75,1.58,100,4.75
7/4/22,Cleaning&body,1,1,1,20.00,20.00,100,20.00
7/4/22,Drinks,5,5,1,153.00,30.60,100,153.00
7/4/22,General Food,11,71,6.5,459.01,41.72,100,459.01
7/4/22,Meat/Fish,5,7,1.4,130.00,26.00,100,130.00
7/4/22,Service Fees,12,0,0,10.73,0.89,0,0.00
7/5/22,Cleaning&body,2,2,1,20.00,10.00,100,20.00
7/5/22,Drinks,5,9,1.8,184.00,36.80,100,184.00
7/5/22,General Food,11,34,3.1,591.35,53.75,100,591.35
7/5/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
7/5/22,Service Fees,11,0,0,1.52,0.13,0,0.00
7/5/22,Snacks,3,13,4.3,5.00,1.66,100,5.00
7/6/22,Cleaning&body,2,4,2,53.00,26.50,100,53.00
7/6/22,Drinks,5,9,1.8,313.00,62.60,100,313.00
7/6/22,General Food,12,99,8.3,897.37,74.78,100,897.37
7/6/22,Meat/Fish,4,6,1.5,70.00,17.50,100,70.00
7/6/22,Pinless Recharge,1,1,1,9.00,9.00,0,0.00
7/6/22,Service Fees,14,0,0,0.00,0.00,0,0.00
7/6/22,Snacks,2,6,3,9.00,4.50,100,9.00
7/7/22,Drinks,3,14,4.7,59.00,19.66,100,59.00
7/7/22,General Food,6,62,10.3,652.29,108.71,100,652.29
7/7/22,Meat/Fish,1,2,2,30.00,30.00,100,30.00
7/7/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
7/7/22,Service Fees,7,0,0,1.12,0.16,0,0.00
7/7/22,Snacks,2,7,3.5,4.25,2.12,100,4.25
7/8/22,Drinks,6,15,2.5,195.75,32.62,100,195.75
7/8/22,General Food,14,96,6.9,1060.43,75.74,100,1060.43
7/8/22,Household,1,1,1,23.99,23.99,100,23.99
7/8/22,Meat/Fish,3,3,1,40.00,13.33,100,40.00
7/8/22,Service Fees,15,0,0,2.12,0.14,0,0.00
7/8/22,Snacks,2,2,1,2.99,1.49,100,2.99
7/9/22,Cleaning&body,1,1,1,3.50,3.50,100,3.50
7/9/22,Drinks,4,4,1,75.50,18.87,100,75.50
7/9/22,General Food,15,107,7.1,674.27,44.95,100,674.27
7/9/22,Meat/Fish,2,2,1,20.00,10.00,100,20.00
7/9/22,Service Fees,18,0,0,4.80,0.26,0,0.00
7/9/22,Snacks,5,14,2.8,15.00,3.00,100,15.00
7/10/22,Cleaning&body,1,1,1,5.50,5.50,100,5.50
7/10/22,Clothes,1,2,2,20.00,20.00,100,20.00
7/10/22,Drinks,7,16,2.3,315.50,45.07,100,315.50
7/10/22,General Food,10,77,7.7,1037.38,103.73,100,1037.38
7/10/22,Meat/Fish,2,3,1.5,23.50,11.75,100,23.50
7/10/22,Service Fees,11,0,0,3.12,0.28,0,0.00
7/10/22,Snacks,3,5,1.7,4.50,1.50,100,4.50
7/11/22,Drinks,3,8,2.7,80.00,26.66,100,80.00
7/11/22,General Food,6,49,8.2,378.74,63.12,100,378.74
7/11/22,Meat/Fish,2,3,1.5,40.00,20.00,100,40.00
7/11/22,Service Fees,6,0,0,2.04,0.34,0,0.00
7/11/22,Snacks,1,2,2,2.60,2.60,100,2.60
7/12/22,Drinks,3,7,2.3,84.75,28.25,100,84.75
7/12/22,General Food,6,24,4,340.96,56.82,100,340.96
7/12/22,Household,1,5,5,35.00,35.00,100,35.00
7/12/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
7/12/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
7/12/22,Service Fees,7,0,0,0.51,0.07,0,0.00
7/13/22,Drinks,2,4,2,152.00,76.00,100,152.00
7/13/22,General Food,8,70,8.8,937.98,117.24,100,937.98
7/13/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
7/13/22,Service Fees,8,0,0,2.12,0.26,0,0.00
7/13/22,Snacks,2,2,1,1.50,0.75,100,1.50
7/14/22,Cleaning&body,1,1,1,18.00,18.00,100,18.00
7/14/22,Drinks,1,2,2,41.00,41.00,100,41.00
7/14/22,General Food,10,57,5.7,391.68,39.16,100,391.68
7/14/22,Meat/Fish,2,4,2,50.00,25.00,100,50.00
7/14/22,Service Fees,11,0,0,8.53,0.77,0,0.00
7/14/22,Snacks,1,7,7,5.00,5.00,100,5.00
7/15/22,Drinks,1,1,1,1.50,1.50,100,1.50
7/15/22,General Food,10,76,7.6,449.52,44.95,100,449.52
